b,18.83,3.54,y,p,ff,ff,0,f,f,0,t,g,00180,1,-
?,45.33,1,u,g,q,v,0.125,f,f,0,t,g,00263,0,-
a,47.25,0.75,u,g,q,h,2.75,t,t,01,f,g,00333,892,+
b,24.17,0.875,u,g,q,v,4.625,t,t,02,t,g,00520,2000,+
b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,00240,4607,+
a,20.50,11.835,u,g,c,h,6,t,f,0,f,g,00340,0,+
a,18.83,4.415,y,p,c,h,3,t,f,0,f,g,00240,0,+
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,00120,2206,+
a,25.00,0.875,u,g,x,h,1.04,t,f,0,t,g,00160,5860,+
b,20.17,9.25,u,g,c,v,1.665,t,t,03,t,g,00040,28,+
b,25.75,0.5,u,g,c,v,1.46,t,t,05,t,g,00312,0,+
b,20.42,7,u,g,c,v,1.625,t,t,03,f,g,00200,1391,+
b,?,4,u,g,x,v,5,t,t,03,t,g,00290,2279,+
b,39.00,5,u,g,cc,v,3.5,t,t,10,t,g,00000,0,+
a,64.08,0.165,u,g,ff,ff,0,t,t,01,f,g,00232,100,+
b,28.25,5.125,u,g,x,v,4.75,t,t,02,f,g,00420,7,+
a,28.75,3.75,u,g,c,v,1.085,t,t,01,t,g,00371,0,+
b,31.33,19.5,u,g,c,v,7,t,t,16,f,g,00000,5000,+
a,18.92,9,u,g,aa,v,0.75,t,t,02,f,g,00088,591,+
a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,00000,500,+
a,30.67,12,u,g,c,v,2,t,t,01,f,g,00220,19,+
b,21.00,4.79,y,p,w,v,2.25,t,t,01,t,g,00080,300,+
b,13.75,4,y,p,w,v,1.75,t,t,02,t,g,00120,1000,+
a,46.00,4,u,g,j,j,0,t,f,0,f,g,00100,960,+
a,44.33,0,u,g,c,v,2.5,t,f,0,f,g,00000,0,+
b,20.25,9.96,u,g,e,dd,0,t,f,0,f,g,00000,0,+
b,22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,00000,0,+
b,?,10.5,u,g,x,v,6.5,t,f,0,f,g,00000,0,+
a,60.92,5,u,g,aa,v,4,t,t,04,f,g,00000,99,+
b,16.08,0.75,u,g,c,v,1.75,t,t,05,t,g,00352,690,+
a,28.17,0.375,u,g,q,v,0.585,t,t,04,f,g,00080,0,+
b,39.17,1.71,u,g,x,v,0.125,t,t,05,t,g,00480,0,+
?,20.42,7.5,u,g,k,v,1.5,t,t,01,f,g,00160,234,+
a,30.00,5.29,u,g,e,dd,2.25,t,t,05,t,g,00099,500,+
b,22.83,3,u,g,m,v,1.29,t,t,01,f,g,00260,800,+
a,22.50,8.5,u,g,q,v,1.75,t,t,10,f,g,00080,990,-
a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,00440,0,-
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,00140,0,-
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,00160,0,-
a,57.08,0.335,u,g,i,bb,1,t,f,0,t,g,00252,2197,-
a,55.75,7.08,u,g,k,h,6.75,t,t,03,t,g,00100,50,-
b,43.25,25.21,u,g,q,h,0.21,t,t,01,f,g,00760,90,-
a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,00360,1,-
a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,00400,0,-
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,00560,0,-
b,40.92,0.835,u,g,ff,ff,0,t,f,0,f,g,00130,1,-
b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,00523,0,-
a,33.92,1.585,y,p,ff,ff,0,t,f,0,f,g,00320,0,-
a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,00080,0,-
b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,00680,0,-
b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,00163,0,-
b,80.25,5.5,u,g,?,?,0.54,t,f,0,f,g,00000,340,-
b,19.42,1.5,y,p,cc,v,2,t,f,0,t,g,00100,20,-
b,42.75,3,u,g,i,bb,1,t,f,0,f,g,00000,200,-
b,19.67,10,y,p,k,h,0.835,t,f,0,t,g,00140,0,-
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,00200,0,-
b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,00132,28,-
b,44.25,11,y,p,d,v,1.5,t,f,0,f,s,00000,0,-
b,23.58,0.46,y,p,w,v,2.625,t,t,06,t,g,00208,347,-
b,23.92,1.5,u,g,d,h,1.875,t,t,06,f,g,00200,327,+
b,33.17,1,u,g,x,v,0.75,t,t,07,t,g,00340,4071,+
b,48.33,12,u,g,m,v,16,t,f,0,f,s,00110,0,+
b,76.75,22.29,u,g,e,z,12.75,t,t,01,t,g,00000,109,+
b,51.33,10,u,g,i,bb,0,t,t,11,f,g,00000,1249,+